['CO[P@@](=O)(N)SC', '(-)']
['CO[C@@H]([C@H](C)/C=C/N(C)C=O)[C@H](C)C(=O)CC[C@@H](C)[C@H](C[C@H]1OC(=O)C[C@H](OC(N)=O)C[C@@H](C)C[C@H](O)[C@@H](C)[C@H](OC)c2coc(n2)-c2coc(n2)-c2coc(n2)/C=C/C[C@@H](OC)[C@@H]1C)OC', '(-)']
['CN(C)[C@@H]1CCC[C@H]1O.Cl', '(-)']
['CN(C)[C@H]1CCC[C@@H]1O.Cl', '(+)']
['C[C@@H]1C(=O)[C@@H]2[C@@H](O2)C(=O)C1=O', '(-)']
['C[C@@H]1C(=O)C(=O)[C@H]2O[C@H]2C1=O', '(+)']
['CCCC[C@@H]1[C@@H](C2CCN1CC2)C3=CC=C(C=C3)C.Cl', '(-)']
['CCCC[C@H]1[C@@H](c2ccc(C)cc2)C2CCN1CC2.Cl', '(+)']
['CCC[C@H](CC1=CC=CC=C1)NCCC.Cl', '(-)']
['CCCN[C@@H](CCC)Cc1ccccc1.Cl', '(+)']
['C[C@@H]1CC[C@]23[C@H]1CC[C@]2(C(=C4[C@@H]3C[C@@H]5[C@@H](CC[C@]5(C4)C)C(C)C)C)C', '(+)']
['CC1=C2C[C@@]3(C)CC[C@H](C(C)C)[C@@H]3C[C@H]2[C@]23CC[C@H](C)[C@H]2CC[C@]13C', '(-)']
['C1[C@@H]2C[C@@H]2N[C@H]1COC3=CN=C(C=C3)Cl.Cl', '(-)']
['Cl.Clc1ccc(OC[C@@H]2C[C@H]3C[C@H]3N2)cn1', '(+)']
['COC1=C(C=C2[C@@H]3CC4=C(CN3CCC2=C1)C(=C(C=C4)O)OC)OC.Cl', '(-)']
['COc1cc2c(cc1OC)[C@H]1Cc3ccc(O)c(OC)c3CN1CC2.Cl', '(+)']
['C1[C@@H]2C[C@@H]2N[C@H]1COC3=CN=C(C=C3)Cl', '(-)']
['Clc1ccc(OC[C@@H]2C[C@H]3C[C@H]3N2)cn1', '(+)']
['C[S@](=O)CCOC1=C(C=C(C(=C1)N2CCN(CC2)CCN3C4=C(C5=NC(=NN5C(=N4)N)C6=CC=CO6)SC3=O)F)F.Cl', '(+)']
['C[S@@](=O)CCOc1cc(N2CCN(CCn3c(=O)sc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)c(F)cc1F.Cl', '(-)']
['CCCCCCCCC[C@H](CCC/C=C/C=C/C(=O)O)OC', '(+)']
['CCCCCCCCC[C@@H](CCC/C=C/C=C/C(=O)O)OC', '(-)']
['CCCCCCCCCCCCNC(=O)[C@H](C)Br', '(-)']
['CCCCCCCCCCCCNC(=O)[C@@H](C)Br', '(+)']
['COC1=CC=CC=C1[P@](C2=CC=CC=C2)C3=CC=CC=C3OC4=CC=CC=C4[P@@](C5=CC=CC=C5)C6=CC=CC=C6OC', '(-)']
['COc1ccccc1P(c1ccccc1)c1ccccc1Oc1ccccc1P(c1ccccc1)c1ccccc1OC', '(+)']
['C1=CC=C(C=C1)[C@H]([C@@H](C2=CC=CC=C2)N)N.C1=CC=C(C=C1)[C@H]([C@@H](C2=CC=CC=C2)N)N.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8.[Cl-].[Cl-].[Ru+2].[Ru+2]', '(+)']
['N[C@@H](c1ccccc1)[C@@H](N)c1ccccc1.N[C@@H](c1ccccc1)[C@@H](N)c1ccccc1.[Cl+].[Cl+].[Ru+2].[Ru+2].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1.c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1', '(-)']
['C1=CC=C(C=C1)[C@@H]([C@H](C2=CC=CC=C2)N)N.C1=CC=C(C=C1)[C@@H]([C@H](C2=CC=CC=C2)N)N.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8.[Cl-].[Cl-].[Ru+2].[Ru+2]', '(+)']
['N[C@H](c1ccccc1)[C@H](N)c1ccccc1.N[C@H](c1ccccc1)[C@H](N)c1ccccc1.[Cl+].[Cl+].[Ru+2].[Ru+2].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1.c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1', '(-)']
['CN1CC[C@]23CC(=O)C=C[C@@H]2[C@H]1CC4=C3C=C(C=C4)OC', '(-)']
['COc1ccc2c(c1)[C@@]13CCN(C)[C@@H](C2)[C@@H]1C=CC(=O)C3', '(+)']
['C[C@H]1CC[C@]2([C@H]3CC4=C([C@]2(C1)CCN3C)C=C(C=C4)O)O', '(-)']
['C[C@@H]1CC[C@]2(O)[C@@H]3Cc4ccc(O)cc4[C@]2(CCN3C)C1', '(+)']
['CN1CC[C@]23CC(=O)C=C[C@H]2[C@H]1CC4=C3C=C(C=C4)O', '(-)']
['CN1CC[C@@]23CC(=O)C=C[C@@H]2[C@@H]1Cc1ccc(O)cc13', '(+)']
['CC1=CC(=O)CC([C@]1(/[13CH]=[13CH]/C(=C\\C(=O)O)/C)O)(C)C', '(+)']
['CC1=CC(=O)CC(C)(C)[C@]1(O)/[13CH]=[13CH]/C(C)=C\\C(=O)O', '(-)']
['COC1=CC(=C(C(=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3)C4=C(C=C(C=C4P(=O)(C5=CC=CC=C5)C6=CC=CC=C6)OC)OC)OC.C1=CC=C(C=C1)C(=O)O[C@@H]([C@@H](C(=O)O)OC(=O)C2=CC=CC=C2)C(=O)O', '(+)']
['COc1cc(OC)c(-c2c(OC)cc(OC)cc2P(=O)(c2ccccc2)c2ccccc2)c(P(=O)(c2ccccc2)c2ccccc2)c1.O=C(O[C@@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C(=O)O)c1ccccc1', '(-)']
['COC1=CC(=C(C(=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3)C4=C(C=C(C=C4P(=O)(C5=CC=CC=C5)C6=CC=CC=C6)OC)OC)OC.C1=CC=C(C=C1)C(=O)O[C@H]([C@H](C(=O)O)OC(=O)C2=CC=CC=C2)C(=O)O', '(-)']
['COc1cc(OC)c(-c2c(OC)cc(OC)cc2P(=O)(c2ccccc2)c2ccccc2)c(P(=O)(c2ccccc2)c2ccccc2)c1.O=C(O[C@H](C(=O)O)[C@H](OC(=O)c1ccccc1)C(=O)O)c1ccccc1', '(+)']
['COC1=CC=CC=C1[P@](C2=CC=CC=C2)C3=CC=CC4=C3OC5=C4C=CC=C5[P@@](C6=CC=CC=C6)C7=CC=CC=C7OC', '(-)']
['COc1ccccc1P(c1ccccc1)c1cccc2c1oc1c(P(c3ccccc3)c3ccccc3OC)cccc12', '(+)']
['CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)[O-])C=N[C@@H]2CCCC[C@H]2N=CC3=C(C(=CC(=C3)C(C)(C)C)C(C)(C)C)[O-].[Co]', '(-)']
['CC(C)(C)c1cc(C=N[C@H]2CCCC[C@@H]2N=Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2[O+])c([O+])c(C(C)(C)C)c1.[Co]', '(+)']
['C[C@H]1C2=CC=CC=C2[C@@H]3C[C@H](CCN3C4=C1C=C(C=C4)C#N)NC(=O)C5=C(N=NS5)C', '(-)']
['Cc1nnsc1C(=O)N[C@@H]1CCN2c3ccc(C#N)cc3[C@H](C)c3ccccc3[C@H]2C1', '(+)']
['C[C@@]1([C@@H]2C[C@@H]3CC[C@]2(CC3=C)C=CC1=O)CCC(=O)NC4=C(C=CC(=C4[O-])C(=O)O)O', '(-)']
['C=C1C[C@]23C=CC(=O)[C@](C)(CCC(=O)Nc4c(O)ccc(C(=O)O)c4[O+])[C@H]2C[C@H]1CC3', '(+)']
['CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C(=O)[O-])O', '(+)']
['CC(C)c1cc2c(cc1O)[C@]1(C(=O)[O+])CCCC(C)(C)[C@H]1CC2', '(-)']
['C1CC1CC[C@H](C2=CC(=C(C=C2)F)NC(=O)C3=CC(=NN3C4=CC=CC(=C4)CN)C(F)(F)F)N5C=CC=CC5=O', '(+)']
['NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2cc([C@H](CCC3CC3)n3ccccc3=O)ccc2F)c1', '(-)']
['C1CC1CC[C@@H](C2=CC(=C(C=C2)F)NC(=O)C3=CC(=NN3C4=CC=CC(=C4)CN)C(F)(F)F)N5C=CC=CC5=O', '(+)']
['NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2cc([C@@H](CCC3CC3)n3ccccc3=O)ccc2F)c1', '(-)']
['C1[C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC=CC=C3C=O)O)O)O)O)O)O', '(-)']
['O=Cc1ccccc1O[C@H]1O[C@@H](CO[C@H]2OC[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O', '(+)']
['CC(=O)[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)O)C)C)O', '(+)']
['CC(=O)[C@@H]1C[C@@H](O)[C@]2(C)C3=C(C(=O)C[C@@]12C)[C@]1(C)CC[C@@H](O)C(C)(C)[C@H]1C[C@H]3O', '(-)']
['C[C@@H]1C[C@H]([C@@]2(C(=C1C=O)[C@@](CC2(C)C)(C)CO)O)O', '(+)']
['C[C@H]1C[C@H](O)[C@@]2(O)C(=C1C=O)[C@](C)(CO)CC2(C)C', '(-)']
['C[C@@H]1C[C@@H]([C@@]2(C(=C1C=O)[C@@](CC2(C)C)(C)CO)O)O', '(+)']
['C[C@H]1C[C@@H](O)[C@@]2(O)C(=C1C=O)[C@](C)(CO)CC2(C)C', '(-)']
['CC1=CC2=C(C(=C1C(=O)OC[C@@H](CO)O)O)C(=O)C3=C(C2=O)C=C(C=C3O)O', '(+)']
['Cc1cc2c(c(O)c1C(=O)OC[C@@H](O)CO)C(=O)c1c(O)cc(O)cc1C2=O', '(-)']
['CC(=CCCC1=C[C@@]2(C3=C(C=CC(=C3)O)OC(=O)[C@@]2(CC/C=C(\\C)/CCC=C(C)C)CC(=O)C4=C(C=CC(=C4)O)O)OC1=O)C', '(+)']
['CC(C)=CCCC1=C[C@@]2(OC1=O)c1cc(O)ccc1OC(=O)[C@]2(CC/C=C(\\C)CCC=C(C)C)CC(=O)c1cc(O)ccc1O', '(-)']
['CC(=CCCC1=C[C@]2(C3=C(C=CC(=C3)O)OC(=O)[C@]2(CC/C=C(\\C)/CCC=C(C)C)CC(=O)C4=C(C=CC(=C4)O)O)OC1=O)C', '(-)']
['CC(C)=CCCC1=C[C@]2(OC1=O)c1cc(O)ccc1OC(=O)[C@@]2(CC/C=C(\\C)CCC=C(C)C)CC(=O)c1cc(O)ccc1O', '(+)']
['CC(=CCC/C(=C/CCC1=C[C@@]2(C3=C(C=CC(=C3)O)OC(=O)[C@@]2(CCC=C(C)C)CC(=O)C4=C(C=CC(=C4)O)O)OC1=O)/C)C', '(+)']
['CC(C)=CCC/C(C)=C/CCC1=C[C@@]2(OC1=O)c1cc(O)ccc1OC(=O)[C@]2(CCC=C(C)C)CC(=O)c1cc(O)ccc1O', '(-)']
['CC(=CCC/C(=C/CCC1=C[C@]2(C3=C(C=CC(=C3)O)OC(=O)[C@]2(CCC=C(C)C)CC(=O)C4=C(C=CC(=C4)O)O)OC1=O)/C)C', '(-)']
['CC(C)=CCC/C(C)=C/CCC1=C[C@]2(OC1=O)c1cc(O)ccc1OC(=O)[C@@]2(CCC=C(C)C)CC(=O)c1cc(O)ccc1O', '(+)']
['CC(=CCC/C(=C/CCC1=C[C@]2(C3=C(C=CC(=C3)O)OC(=O)[C@@]2(CC/C=C(\\C)/CCC=C(C)C)CC(=O)C4=C(C=CC(=C4)O)O)OC1=O)/C)C', '(+)']
['CC(C)=CCC/C(C)=C/CCC1=C[C@]2(OC1=O)c1cc(O)ccc1OC(=O)[C@]2(CC/C=C(\\C)CCC=C(C)C)CC(=O)c1cc(O)ccc1O', '(-)']
['CC(=CCC/C(=C/CCC1=C[C@@]2(C3=C(C=CC(=C3)O)OC(=O)[C@]2(CC/C=C(\\C)/CCC=C(C)C)CC(=O)C4=C(C=CC(=C4)O)O)OC1=O)/C)C', '(-)']
['CC(C)=CCC/C(C)=C/CCC1=C[C@@]2(OC1=O)c1cc(O)ccc1OC(=O)[C@@]2(CC/C=C(\\C)CCC=C(C)C)CC(=O)c1cc(O)ccc1O', '(+)']
['CC[C@]1(C(=O)C=C(O1)C)NC(=O)/C=C(\\C)/CCO', '(+)']
['CC[C@@]1(NC(=O)/C=C(\\C)CCO)OC(C)=CC1=O', '(-)']
['CC[C@@]1(C(=O)C=C(O1)C)NC(=O)/C=C(\\C)/CCO', '(-)']
['CC[C@]1(NC(=O)/C=C(\\C)CCO)OC(C)=CC1=O', '(+)']
['CC1=CCC[C@@]([C@H]1O)(CC(=O)C2=C(C=CC(=C2)O)O)C(=O)O', '(-)']
['CC1=CCC[C@](CC(=O)c2cc(O)ccc2O)(C(=O)O)[C@@H]1O', '(+)']
['CC1=CCC[C@]([C@@H]1O)(CC(=O)C2=C(C=CC(=C2)O)O)C(=O)O', '(+)']
['CC1=CCC[C@@](CC(=O)c2cc(O)ccc2O)(C(=O)O)[C@H]1O', '(-)']
['C[C@]1(CCC(=O)O1)C2=C(C=C(C=C2)C(=O)O)O', '(-)']
['C[C@]1(c2ccc(C(=O)O)cc2O)CCC(=O)O1', '(+)']
['C[C@@]1(CCC(=O)O1)C2=C(C=C(C=C2)C(=O)O)O', '(+)']
['C[C@@]1(c2ccc(C(=O)O)cc2O)CCC(=O)O1', '(-)']
['COC1=C(C(=CC=C1)OC)[C@@H]2C3=C(C=C(C(=C3C(=O)N2)OC)CO)O', '(-)']
['COc1cccc(OC)c1[C@@H]1NC(=O)c2c(OC)c(CO)cc(O)c21', '(+)']
['COC1=C(C(=CC=C1)OC)[C@H]2C3=C(C=C(C(=C3C(=O)N2)OC)CO)O', '(+)']
['COc1cccc(OC)c1[C@H]1NC(=O)c2c(OC)c(CO)cc(O)c21', '(-)']
['C[C@@]1(C(=C)C(=CC1=O)OC)CO', '(-)']
['C=C1C(OC)=CC(=O)[C@]1(C)CO', '(+)']
['C[C@]1(C(=C)C(=CC1=O)OC)CO', '(+)']
['C=C1C(OC)=CC(=O)[C@@]1(C)CO', '(-)']
['C[C@]12CO[C@H]([C@H]1C(=CC2=O)OC)O', '(-)']
['COC1=CC(=O)[C@]2(C)CO[C@H](O)[C@H]12', '(+)']
['C[C@@]12CO[C@@H]([C@@H]1C(=CC2=O)OC)O', '(+)']
['COC1=CC(=O)[C@@]2(C)CO[C@@H](O)[C@@H]12', '(-)']
['CC(=CCCC(=CCCC(=CCC1=C2C(=CC(=C1)O)C3=C(C=CC4=C3[C@]5(O2)C[C@](O4)(CC[C@@H]5C(=C)C)C(=O)OC)O)C(=O)O)C)C', '(-)']
['C=C(C)[C@@H]1CC[C@@]2(C(=O)OC)C[C@@]13Oc1c(CC=C(CCC=C(C)CCC=C(C)C)C(=O)O)cc(O)cc1-c1c(O)ccc(c13)O2', '(+)']
['CC(=CCCC(=CCCC(=CCC1=C2C(=CC(=C1)O)C3=C(C=CC4=C3[C@@]5(O2)C[C@@](O4)(CC[C@H]5C(=C)C)C(=O)OC)O)C(=O)O)C)C', '(+)']
['C=C(C)[C@H]1CC[C@]2(C(=O)OC)C[C@]13Oc1c(CC=C(CCC=C(C)CCC=C(C)C)C(=O)O)cc(O)cc1-c1c(O)ccc(c13)O2', '(-)']
['CC(=CCCC(=CCCC1=C(OC(=C1)C2=C(C=CC(=C2)O)O)[C@]3(C=C(C(=O)O3)CCC=C(C)CCC=C(C)C)C4=C(C=CC(=C4)O)O)C)C', '(+)']
['CC(C)=CCCC(C)=CCCC1=C[C@@](c2cc(O)ccc2O)(c2oc(-c3cc(O)ccc3O)cc2CCC=C(C)CCC=C(C)C)OC1=O', '(-)']
['CC(=CCCC(=CCCC1=C(OC(=C1)C2=C(C=CC(=C2)O)O)[C@@]3(C=C(C(=O)O3)CCC=C(C)CCC=C(C)C)C4=C(C=CC(=C4)O)O)C)C', '(-)']
['CC(C)=CCCC(C)=CCCC1=C[C@](c2cc(O)ccc2O)(c2oc(-c3cc(O)ccc3O)cc2CCC=C(C)CCC=C(C)C)OC1=O', '(+)']
['CC[C@H](C1=C(C(=CC(=O)O1)OC)CO)O', '(-)']
['CC[C@H](O)c1oc(=O)cc(OC)c1CO', '(+)']
['CC1=C2C(=CC(=C1C(=O)O)O)[C@@](C3=C(C2=O)C(=C(C=C3)CO)O)(C)O', '(+)']
['Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(ccc(CO)c1O)[C@@]2(C)O', '(-)']
['CC1=C(C2=C(C=C1)C(C3=C(C2=O)C(=CC(=C3)O[C@@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)C)(C)C)O', '(+)']
['Cc1ccc2c(c1O)C(=O)c1c(C)cc(O[C@@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)cc1C2(C)C', '(-)']
['CC1=CC(=O)[C@]([C@H](C1)O)(C)O', '(-)']
['CC1=CC(=O)[C@@](C)(O)[C@H](O)C1', '(+)']
['CC(C)(C=C)C1=C(C2=CC=CC=C2N1)C=C3C(=O)N4CC[C@H]5[C@]4(C(=O)N3)[C@@]67[C@@H]5CCN6C(=O)/C(=C/C8=C(NC9=CC=CC=C98)C(C)(C)C=C)/NC7=O', '(-)']
['C=CC(C)(C)c1[nH]c2ccccc2c1C=C1NC(=O)[C@@]23[C@@H](CCN2C1=O)[C@@H]1CCN2C(=O)/C(=C/c4c(C(C)(C)C=C)[nH]c5ccccc45)NC(=O)[C@@]123', '(+)']
['CC(C)(C=C)C1=C(C2=CC=CC=C2N1)C=C3C(=O)N4CC[C@@H]5[C@@]4(C(=O)N3)[C@]67[C@H]5CCN6C(=O)/C(=C/C8=C(NC9=CC=CC=C98)C(C)(C)C=C)/NC7=O', '(+)']
['C=CC(C)(C)c1[nH]c2ccccc2c1C=C1NC(=O)[C@]23[C@H](CCN2C1=O)[C@H]1CCN2C(=O)/C(=C/c4c(C(C)(C)C=C)[nH]c5ccccc45)NC(=O)[C@]123', '(-)']
['CC(=O)[C@]12CC[C@@H]3[C@H]([C@@H]1O)CO[C@]34[C@H]2C(=O)C5=C(C=CC(=C45)O)O', '(+)']
['CC(=O)[C@]12CC[C@H]3[C@H](CO[C@]34c3c(O)ccc(O)c3C(=O)[C@H]14)[C@H]2O', '(-)']
['CC(=O)[C@@]12CC[C@H]3[C@@H]([C@H]1O)CO[C@@]34[C@@H]2C(=O)C5=C(C=CC(=C45)O)O', '(-)']
['CC(=O)[C@@]12CC[C@@H]3[C@@H](CO[C@@]34c3c(O)ccc(O)c3C(=O)[C@@H]14)[C@@H]2O', '(+)']
['CN[C@H](CCCN(C(=O)CCNC(=O)CNC(=O)[C@@H]1COC(=N1)C2=CC=CC=C2O)O)C(=O)N[C@@H]3CCCN(C3=O)O', '(-)']
['CN[C@@H](CCCN(O)C(=O)CCNC(=O)CNC(=O)[C@H]1COC(c2ccccc2O)=N1)C(=O)N[C@H]1CCCN(O)C1=O', '(+)']
['CC1=C2[C@](CC3=NC(C(=O)C(=C3S2)CCC4=C5C(=NC(C4=O)(C)C)C[C@]6(C(=C(C(=O)C(N6)(C)C)C)S5)C)(C)C)(NC(C1=O)(C)C)C', '(-)']
['CC1=C2SC3=C(CCC4=C5SC6=C(C)C(=O)C(C)(C)N[C@]6(C)CC5=NC(C)(C)C4=O)C(=O)C(C)(C)N=C3C[C@@]2(C)NC(C)(C)C1=O', '(+)']
['CC1=C2[C@@](CC3=NC(C(=O)C(=C3S2)CCC4=C5C(=NC(C4=O)(C)C)C[C@@]6(C(=C(C(=O)C(N6)(C)C)C)S5)C)(C)C)(NC(C1=O)(C)C)C', '(+)']
['CC1=C2SC3=C(CCC4=C5SC6=C(C)C(=O)C(C)(C)N[C@@]6(C)CC5=NC(C)(C)C4=O)C(=O)C(C)(C)N=C3C[C@]2(C)NC(C)(C)C1=O', '(-)']
['CC1=C2C(=NC(C1=O)(C)C)C[C@@]3(C(=C(C(=O)C(N3)(C)C)C)S2)C', '(+)']
['CC1=C2SC3=C(C)C(=O)C(C)(C)N[C@@]3(C)CC2=NC(C)(C)C1=O', '(-)']
['CC1=C2C(=NC(C1=O)(C)C)C[C@]3(C(=C(C(=O)C(N3)(C)C)C)S2)C', '(-)']
['CC1=C2SC3=C(C)C(=O)C(C)(C)N[C@]3(C)CC2=NC(C)(C)C1=O', '(+)']
['CC1=CC(=C2C3=C4C(=C5C(=CC(=CC5=C13)OC)O)C(=O)C[C@]6([C@]4(O2)C7=C(C(=CC(=C7)OC)O)C(=O)O6)C)O', '(-)']
['COc1cc(O)c2c(c1)[C@@]13Oc4c(O)cc(C)c5c4c1c(c1c(O)cc(OC)cc15)C(=O)C[C@@]3(C)OC2=O', '(+)']
['CC1=CC(=C2C3=C4C(=C5C(=CC(=CC5=C13)OC)O)C(=O)C[C@@]6([C@@]4(O2)C7=C(C(=CC(=C7)OC)O)C(=O)O6)C)O', '(+)']
['COc1cc(O)c2c(c1)[C@]13Oc4c(O)cc(C)c5c4c1c(c1c(O)cc(OC)cc15)C(=O)C[C@]3(C)OC2=O', '(-)']
['C[C@]12[C@@H]3[C@@H]4C(=CC(=O)[C@@]15[C@@]4([C@@]([C@H]2OC3=O)(C(=O)O5)O)C)OC', '(-)']
['COC1=CC(=O)[C@]23OC(=O)[C@@]4(O)[C@@H]5OC(=O)[C@H]([C@@H]1[C@@]24C)[C@@]53C', '(+)']
['C[C@@]12[C@H]3[C@H]4C(=CC(=O)[C@]15[C@]4([C@]([C@@H]2OC3=O)(C(=O)O5)O)C)OC', '(+)']
['COC1=CC(=O)[C@@]23OC(=O)[C@]4(O)[C@H]5OC(=O)[C@@H]([C@H]1[C@]24C)[C@]53C', '(-)']
['C[C@@H]1C(C2=C(O1)C3=C4C(=C(OC(=C4C(=O)C(=C3C)O)O)O)C2=O)(C)C', '(+)']
['Cc1c(O)c(=O)c2c(O)oc(O)c3c(=O)c4c(c1c23)O[C@@H](C)C4(C)C', '(-)']
['C[C@@H]1C(C2=C(O1)C3=C(C(=O)C(=C4C3=C(C2=O)C(=C(O4)O)O)O)C)(C)C', '(+)']
['Cc1c(=O)c(O)c2oc(O)c(O)c3c(=O)c4c(c1c23)O[C@@H](C)C4(C)C', '(-)']
['C[C@H]1C(C2=C(O1)C3=C4C(=C(C=C3C)O)C(=O)OC4=C2O)(C)C', '(-)']
['Cc1cc(O)c2c3c(c(O)c4c(c13)O[C@H](C)C4(C)C)OC2=O', '(+)']
['C[C@]12CC3=C(CN1C4=CC=CC=C4C(=O)N2)C(=CC(=C3)O)OC', '(+)']
['COc1cc(O)cc2c1CN1c3ccccc3C(=O)N[C@]1(C)C2', '(-)']
['C[C@@]12CC3=C(CN1C4=CC=CC=C4C(=O)N2)C(=CC(=C3)O)OC', '(-)']
['COc1cc(O)cc2c1CN1c3ccccc3C(=O)N[C@@]1(C)C2', '(+)']
['C[C@@H]1[C@H]2C3=C(C(=CNC3=O)C4=CC=CC=C4)O[C@]2(C=C1CO)C', '(-)']
['C[C@@H]1C(CO)=C[C@@]2(C)Oc3c(-c4ccccc4)c[nH]c(=O)c3[C@@H]12', '(+)']
['C[C@H]1[C@@H]2C3=C(NC=C(C3=O)C4=CC=CC=C4)O[C@@]2(C=C1C)C', '(-)']
['CC1=C[C@]2(C)Oc3[nH]cc(-c4ccccc4)c(=O)c3[C@@H]2[C@H]1C', '(+)']
['C/C=C(\\C)/[C@H]1C(=CC2=C(O1)C(=CNC2=O)C3=CC=CC=C3)C', '(-)']
['C/C=C(\\C)[C@H]1Oc2c(-c3ccccc3)c[nH]c(=O)c2C=C1C', '(+)']
['C/C=C(\\C)/[C@@H]1C(=CC2=C(O1)C(=CNC2=O)C3=CC=CC=C3)C', '(+)']
['C/C=C(\\C)[C@@H]1Oc2c(-c3ccccc3)c[nH]c(=O)c2C=C1C', '(-)']
['C[C@H]1[C@@H]2C3=C(C(=CNC3=O)C4=CC=CC=C4)O[C@@]2(C=C1C)CO', '(+)']
['CC1=C[C@]2(CO)Oc3c(-c4ccccc4)c[nH]c(=O)c3[C@@H]2[C@H]1C', '(-)']
['C[C@@H]1[C@H]2C3=C(C(=CNC3=O)C4=CC=CC=C4)O[C@]2(C=C1C)CO', '(-)']
['CC1=C[C@@]2(CO)Oc3c(-c4ccccc4)c[nH]c(=O)c3[C@H]2[C@@H]1C', '(+)']
['C[C@H]1[C@@H]2C3=C(C(=CNC3=O)C4=CC=CC=C4)O[C@@]2(C=C1CO)C', '(+)']
['C[C@H]1C(CO)=C[C@]2(C)Oc3c(-c4ccccc4)c[nH]c(=O)c3[C@H]12', '(-)']
['C[C@H]1[C@@H]2C3=C(C(=CNC3=O)C4=CC=C(C=C4)O)O[C@@]2(C=C1C)C', '(+)']
['CC1=C[C@]2(C)Oc3c(-c4ccc(O)cc4)c[nH]c(=O)c3[C@@H]2[C@H]1C', '(-)']
['C[C@@H]1[C@H]2C3=C(C(=CNC3=O)C4=CC=C(C=C4)O)O[C@]2(C=C1C)C', '(-)']
['CC1=C[C@@]2(C)Oc3c(-c4ccc(O)cc4)c[nH]c(=O)c3[C@H]2[C@@H]1C', '(+)']
['CC1=C(OC(=C(C1=O)C)[C@H](C)C(=O)C)C', '(-)']
['CC(=O)[C@H](C)c1oc(C)c(C)c(=O)c1C', '(+)']
['CC1=C(OC(=C(C1=O)C)[C@@H](C)C(=O)C)C', '(+)']
['CC(=O)[C@@H](C)c1oc(C)c(C)c(=O)c1C', '(-)']
['CC1=C(C=C(C=C1O)O)[C@H](C)C(=O)C', '(-)']
['CC(=O)[C@H](C)c1cc(O)cc(O)c1C', '(+)']
['CC1=C(C=C(C=C1O)O)[C@@H](C)C(=O)C', '(+)']
['CC(=O)[C@@H](C)c1cc(O)cc(O)c1C', '(-)']
['C[C@@H]1[C@]([C@H]([C@](O1)(C)/C=C(/C)\\C=CC=CC=CC2=C(C(=CC(=O)O2)OC)C)O)(C)O', '(+)']
['COc1cc(=O)oc(C=CC=C/C=C\\C(C)=C/[C@@]2(C)O[C@@H](C)[C@@](C)(O)[C@@H]2O)c1C', '(-)']
['C[C@H]1[C@@H](C(=CC1=O)OC)O', '(+)']
['COC1=CC(=O)[C@H](C)[C@H]1O', '(-)']
['C[C@@H]1CC2=C(C=C(C=C2C)O)O[C@@]13C(=CC(=O)O3)OC', '(+)']
['COC1=CC(=O)O[C@@]12Oc1cc(O)cc(C)c1C[C@@H]2C', '(-)']
['C[C@H]1CC2=C(C=C(C=C2C)O)O[C@]13C(=CC(=O)O3)OC', '(-)']
